SA1_2021,IER_2021
10201103311,1045.252131
10201103312,1073.859719
10201103313,1057.636203
10201103314,1051.14662
10201103315,1065.497776
10201103317,1033.695229
10201103318,1101.380711
10201103319,1078.500821
10201103401,1016.257763
10201103402,1012.573678
10201103403,992.8568394
10201103404,1053.392906
10201103405,1021.189072
10201103406,1021.262268
10201103408,1123.297897
10201103409,1066.412095
10201103410,1010.653897
10201103411,1103.119247
10201103412,1035.95708
10201103413,1116.217914
10201103414,948.4838074
10201103415,900.2010229
10201103416,983.864918
10201103417,947.9406047
10201103418,895.8715013
10201103419,1090.313692
10201103420,1151.336672
10201103501,1087.468746
10201103502,927.0821765
10201103503,1060.978487
10201103504,997.0112136
10201103505,1095.972058
10201103506,1078.651743
10201103507,983.1259228
10201103508,1140.850458
10201103509,1052.572567
10201103510,1039.899973
10201103511,1055.779791
10201103512,1017.483735
10201103513,1082.549584
10201103514,1016.872244
10201103515,917.277356
10201103516,985.1964265
10201103517,1037.809573
10201103601,1124.632036
10201103602,1136.86611
10201103603,1053.17969
10201103604,1065.276097
10201103605,1094.304461
10201103606,1030.025783
10201103607,1163.896921
10201103608,1034.859146
10201103609,1141.210142
10201103610,967.219403
10201103611,1036.329803
10201103612,897.1005763
10201103613,1074.668647
10201103614,1055.341918
10201103615,1095.81958
10201103616,1096.726607
10201103617,1128.137869
10201103618,1173.79198
10201103619,992.0039232
10201103620,915.7844234
10201103621,1140.001226
10201103622,1053.529278
10201103701,1002.237276
10201103702,1011.236477
10201103703,981.4134603
10201103704,1080.063626
10201103705,1043.878212
10201103706,1037.569482
10201103707,1086.394694
10201103708,1033.763784
10201103709,1019.784317
10201103710,1068.993674
10201103711,1054.049648
10201103712,1062.662793
10201103713,889.2334803
10201103714,1016.47152
10201103801,1078.435001
10201103802,1073.255429
10201103803,1036.55415
10201103804,1036.373558
10201103805,1048.871768
10201103806,966.3471023
10201103807,1070.66708
10201103808,924.1095767
10201103809,1080.615046
10201103810,1107.218611
10201103811,1111.603187
10201103812,1084.153306
10201103813,1070.998127
10201103814,1021.187266
10201103815,1109.075669
10201103816,1077.779301
10201103817,1053.916665
10201103901,1126.269583
10201103902,1152.574398
10201103903,1066.684961
10201103904,1100.902828
10201103905,1130.250644
10201103906,1001.235777
10201103908,1128.169937
10201103909,1002.960686
10201103911,1093.850442
10201103912,1060.171191
10201103913,1081.934777
10201103914,1100.661625
10201103915,1077.727179
10201103916,1049.782631
10201103917,1108.691879
10201103918,1117.750681
10201103919,988.0863203
10201103921,1027.849099
10201103922,1131.246461
10201103923,1163.508176
10201103924,866.9171609
10201103925,1130.684583
10201103926,1142.27156
10201103927,1100.76755
10201103928,1011.819543
10201103929,1061.131437
10201103931,987.0917892
10201103932,996.8861348
10201103933,1252.620661
10201103934,998.5112741
10201103935,1109.345985
10201103936,1021.819136
10201104001,965.9714187
10201104002,952.8656801
10201104003,1092.886774
10201104004,1032.1628
10201104005,1052.493406
10201104006,987.9480098
10201104007,946.5403445
10201104009,899.9499157
10201104010,882.3898738
10201104011,973.6105928
10201104012,1022.581229
10201104013,972.4102493
10201104014,886.2454952
10201104015,994.8932247
10201104016,1042.125404
10201104017,894.3389138
10201104018,966.8499383
10201104019,923.8846133
10201104020,896.9535153
10201104021,853.5567564
10201104022,896.7016857
10201104023,875.8444983
10201104024,937.0372519
10201104025,900.6214707
10201104026,918.7779623
10201104027,937.3832184
10201104028,1077.759323
10201104029,901.1953819
10201104030,875.4781456
10201104031,920.5115979
10201104032,951.7619002
10201104033,963.8883898
10201104034,1016.742947
10201104035,999.6544656
10201104036,1048.059231
10201104037,947.1435709
10201104038,978.29331
10201104039,981.5504266
10201104040,945.6980094
10201104041,956.802648
10201104042,863.4898541
10201104043,955.8256391
10201104044,996.635143
10201104045,931.5365649
10201104046,923.2127551
10201104047,947.0989923
10201104048,985.2306799
10201104049,953.9811121
10201104050,978.8028161
10201104051,1043.629227
10201104052,1032.855454
10201104053,922.7379457
10201104054,1082.831976
10201104055,1054.689758
10201104056,1090.57333
10201104057,1078.193188
10201104058,1008.598186
10201104101,1081.454392
10201104102,1071.194305
10201104103,1069.063786
10201104104,1109.097038
10201104105,1112.054628
10201104106,1173.407818
10201104107,1063.879079
10201104109,1035.836428
10201104110,1134.825624
10201104111,1096.985604
10201104112,1093.352522
10201104113,1199.150124
10201104114,1101.76798
10201104115,1115.00944
10201104116,1118.245464
10201104117,1119.223159
10201104119,1100.537694
10201104120,1092.20597
10201104121,1048.26288
10201104122,1142.3036
10201104123,1076.142116
10201104124,1079.408783
10201104125,1090.285113
10201104201,905.8561774
10201104202,918.8759287
10201104203,973.8568689
10201104204,734.9840578
10201104205,872.0493777
10201104207,1070.725974
10201104208,898.7607431
10201104209,1014.316622
10201104210,1063.2044
10201104211,1096.624497
10201104213,879.0971784
10201104214,1063.340907
10201104215,868.4327862
10201104216,959.2902228
10201104217,925.0792157
10201104218,933.004794
10201104219,922.3268301
10201104220,898.3101984
10201104221,898.2300268
10201104222,987.2741772
10201104223,845.934308
10201104224,975.2998068
10201104225,978.9942218
10201104226,997.8293376
10201104227,904.6426143
10201104228,951.1376987
10201104229,808.7374837
10201104230,932.045152
10201104231,899.3496063
10201104232,872.1881555
10201104233,941.8717457
10201104301,809.1596779
10201104302,998.3293871
10201104303,973.827028
10201104304,999.3454365
10201104305,1005.131347
10201104307,1044.204197
10201104308,1048.15556
10201104309,1022.262404
10201104310,945.4862843
10201104311,999.6329583
10201104312,891.3452566
10201104313,646.4345768
10201104314,847.1123594
10201104315,1045.829083
10201104316,897.5256019
10201104317,923.603912
10201104318,943.3565111
10201104319,1025.600718
10201104320,978.575757
10201104321,1144.193047
10201104322,1041.028271
10201104323,997.4403447
10201104324,1069.494355
10201104325,1020.016934
10201104326,1034.086546
10201104327,989.2457782
10201104328,1024.579103
10201104329,1035.404733
10201104330,1009.979096
10202104401,1012.663066
10202104402,1026.952122
10202104403,924.1385525
10202104404,1050.22727
10202104405,1067.686031
10202104406,1044.038194
10202104407,1023.075277
10202104408,1009.593757
10202104409,882.3197879
10202104410,820.700944
10202104411,931.6288548
10202104412,1073.104978
10202104414,1070.927073
10202104415,1010.431552
10202104416,984.0173931
10202104417,968.4846514
10202104419,1069.999487
10202104420,1037.481086
10202104421,856.5507027
10202104422,1045.411624
10202104423,1061.988181
10202104424,950.6532033
10202104425,1049.434473
10202104426,1054.559482
10202104427,1013.893648
10202104428,1003.704189
10202104429,1043.029023
10202104430,987.6615487
10202104431,1065.614081
10202104432,991.8758301
10202104433,1031.383938
10202104434,942.5981019
10202104435,1146.229539
10202104436,958.5043822
10202104437,1031.410769
10202104438,1083.206082
10202104439,1058.946056
10202104441,1019.760021
10202104442,1005.676307
10202104443,980.4243115
10202104444,994.0447513
10202104445,820.4286289
10202104446,672.2111436
10202104447,894.6293463
10202104448,936.0448083
10202104449,1039.612435
10202104450,1088.840552
10202104451,1012.408171
10202104452,1068.943443
10202104453,997.2736151
10202104454,1072.3001
10202104455,1036.158569
10202104456,1076.64981
10202104457,1080.767659
10202104458,1077.790431
10202104459,1050.687921
10202104501,997.0496622
10202104502,989.1085346
10202104503,931.9206464
10202104504,985.668557
10202104505,949.8980869
10202104506,957.9377578
10202104507,945.7007774
10202104508,978.1440173
10202104509,927.0676751
10202104510,926.3622642
10202104511,949.1565983
10202104512,978.1967623
10202104513,963.0787614
10202104514,988.539817
10202104515,983.664004
10202104516,965.556665
10202104517,1041.088166
10202104518,1025.118046
10202104519,997.6568575
10202104521,978.5846378
10202104522,1035.250001
10202104523,1097.50356
10202104524,953.6681492
10202104601,1025.056097
10202104602,941.2656413
10202104603,1006.270229
10202104604,971.848968
10202104605,1005.533754
10202104606,1002.52726
10202104607,977.8852672
10202104608,1020.753457
10202104609,964.6482833
10202104610,926.6800385
10202104611,890.9766459
10202104612,991.8393654
10202104614,955.2670288
10202104615,997.5327903
10202104616,946.7337616
10202104617,933.978328
10202104618,1004.119326
10202104619,932.1116731
10202104620,986.9950034
10202104621,988.8420651
10202104622,1000.89467
10202104623,918.2928024
10202104624,947.4388875
10202104625,929.3162545
10202104701,1054.02445
10202104702,1073.194564
10202104703,1167.496158
10202104704,1041.313348
10202104705,1034.322133
10202104706,1069.000572
10202104707,1045.714175
10202104708,1069.470165
10202104709,1008.222715
10202104710,843.0517389
10202104711,885.4992471
10202104712,1125.625157
10202104713,1010.03819
10202104714,1116.323512
10202104715,1056.656507
10202104716,1051.996375
10202104717,1161.187556
10202104718,1042.135156
10202104719,1007.156346
10202104720,1154.525296
10202104721,1040.110069
10202104722,1047.161474
10202104723,1173.21189
10202104724,1038.398754
10202104725,1085.11562
10202104726,1020.218684
10202104727,1041.245955
10202104728,1031.915859
10202104729,1032.864079
10202104730,1051.887537
10202104731,1026.677541
10202104732,978.4156469
10202104733,859.1956792
10202104734,1006.710967
10202104735,1040.841014
10202104736,1068.214711
10202104737,1131.485028
10202104801,961.2446862
10202104802,990.783662
10202104803,980.8504109
10202104804,950.1483921
10202104805,1012.846108
10202104806,1002.179766
